filepath,caption
dataset/TINY_images/train/COCO_train2014_000000341027.jpg,A woman in a black coat standing on the street while holding a phone to her head with a postman walking u the street next to her.
dataset/TINY_images/train/COCO_train2014_000000438252.jpg,a laptop a monitor  a mouse and some cords
dataset/TINY_images/train/COCO_train2014_000000320483.jpg,People wait to cross at a busy crosswalk in a large town
dataset/TINY_images/train/COCO_train2014_000000579952.jpg,A male tennis player preparing to hit a tennis ball.
dataset/TINY_images/train/COCO_train2014_000000200031.jpg,A cat sitting in a spot of sun looking out a window.
dataset/TINY_images/train/COCO_train2014_000000483956.jpg,The giant bird artwork is outside of a building.
dataset/TINY_images/train/COCO_train2014_000000202004.jpg,a horse in a street loaded down with a buggy
dataset/TINY_images/train/COCO_train2014_000000460118.jpg,A couple of sheep are grazing in a desert
dataset/TINY_images/train/COCO_train2014_000000347542.jpg,a man is reaching in to the air with a glove
dataset/TINY_images/train/COCO_train2014_000000228105.jpg,A stack of luggage inside of a car.
dataset/TINY_images/train/COCO_train2014_000000138836.jpg,Two teddy bears dressed alike sitting side by side
dataset/TINY_images/train/COCO_train2014_000000014819.jpg,An alarm clock sitting with other objects in a window sill.
dataset/TINY_images/train/COCO_train2014_000000139151.jpg,A man riding a pair of skis down the side of a rail.
dataset/TINY_images/train/COCO_train2014_000000387977.jpg,An airplane sitting on a runway in a field.
dataset/TINY_images/train/COCO_train2014_000000286696.jpg,A group of tennis players are posing for a picture with their rackets.
dataset/TINY_images/train/COCO_train2014_000000529545.jpg,"two photos of the same location, comparing the location in the present and in the past"
dataset/TINY_images/train/COCO_train2014_000000351718.jpg,The man has his headphones on playing on his cell phone.
dataset/TINY_images/train/COCO_train2014_000000165046.jpg,The man is riding his bike down the street.
dataset/TINY_images/train/COCO_train2014_000000340689.jpg,A person in a long coat sitting on a bench
dataset/TINY_images/train/COCO_train2014_000000415427.jpg,A city bus parked along the road at a bus stop.
dataset/TINY_images/train/COCO_train2014_000000261761.jpg,"A gray colored pigeon that is perched on a railing outside of a building, with other buildings in the background."
dataset/TINY_images/train/COCO_train2014_000000042081.jpg,A person sitting next to two half eaten doughnuts.
dataset/TINY_images/train/COCO_train2014_000000425626.jpg,A plate full of colorful food and vegetables.
dataset/TINY_images/train/COCO_train2014_000000525567.jpg,A man riding a bike across a street at a cross walk.
dataset/TINY_images/train/COCO_train2014_000000454692.jpg,Two kids with helmets on sitting in the snow.
dataset/TINY_images/train/COCO_train2014_000000512068.jpg,A large cat sitting under a sign that reads no ball games.
dataset/TINY_images/train/COCO_train2014_000000488232.jpg,A white refrigerator sits in a black kitchen room.
dataset/TINY_images/train/COCO_train2014_000000509949.jpg,A group of people are flying some kites.
dataset/TINY_images/train/COCO_train2014_000000117937.jpg,Two tennis players are congratulating each other by bumping chests.
dataset/TINY_images/train/COCO_train2014_000000344399.jpg,An adult standing next to a  child while riding skis.
dataset/TINY_images/train/COCO_train2014_000000429949.jpg,The big bear and the baby bear are walking along the grass.
dataset/TINY_images/train/COCO_train2014_000000119535.jpg,"A ""No Bullying"" sign hides in the bushes, overshadowed by its big brother ""Do Not Enter""."
dataset/TINY_images/train/COCO_train2014_000000507511.jpg,Broccoli is served on a plate with a spoon.
dataset/TINY_images/train/COCO_train2014_000000238630.jpg,Two beds sitting next to each other in a bedroom.
dataset/TINY_images/train/COCO_train2014_000000312220.jpg,A dog on one side of a fence with herd of cows on the other side with a cow leaning over the fence trying to reach the dog.
dataset/TINY_images/train/COCO_train2014_000000162300.jpg,A large black and white cat sitting in a bathroom sink.
dataset/TINY_images/train/COCO_train2014_000000110473.jpg,"A room in a doll house with furniture, decorations, books, and people in the room also."
dataset/TINY_images/train/COCO_train2014_000000482765.jpg,A small one-propeller plane is flying over a field.
dataset/TINY_images/train/COCO_train2014_000000321897.jpg,The clock on the wall reads 12:27 at the Regua.
dataset/TINY_images/train/COCO_train2014_000000210604.jpg,A couple of men reaching up to grab frisbees.
dataset/TINY_images/train/COCO_train2014_000000543413.jpg,A group of elephants on grassy area next to rock and trees.
dataset/TINY_images/train/COCO_train2014_000000412000.jpg,Several boats being paddled down a crowded waterway.
dataset/TINY_images/train/COCO_train2014_000000508292.jpg,There is a bicycle parked on the front of the red and white city bus.
dataset/TINY_images/train/COCO_train2014_000000242755.jpg,A man eating some food with a hat on his head.
dataset/TINY_images/train/COCO_train2014_000000156943.jpg,"Bread, soup, and fruit are pictured together on plates."
dataset/TINY_images/train/COCO_train2014_000000022796.jpg,A man wearing shorts stands on a skateboard with his white and black puppy.
dataset/TINY_images/train/COCO_train2014_000000508680.jpg,Airplanes parked in a lot for an airshow
dataset/TINY_images/train/COCO_train2014_000000188225.jpg,A small propeller plane sitting underneath a covering at an airport.
dataset/TINY_images/train/COCO_train2014_000000082788.jpg,A black dog lying on a bed with tan linens
dataset/TINY_images/train/COCO_train2014_000000306433.jpg,a green motorcycle parked in front of a old building
dataset/TINY_images/train/COCO_train2014_000000269588.jpg,A black and white picture of a man wearing a turban walking down a street.
dataset/TINY_images/train/COCO_train2014_000000473403.jpg,A couple of woman standing around with their luggage.
dataset/TINY_images/train/COCO_train2014_000000431650.jpg,Two players shake hands over the net on a tennis court.
dataset/TINY_images/train/COCO_train2014_000000476173.jpg,A dog laying next to a cat eating out of a food bowl.
dataset/TINY_images/train/COCO_train2014_000000291717.jpg,The people are stopping to get something to eat
dataset/TINY_images/train/COCO_train2014_000000163192.jpg,A large golden plate trimmed in black and a round golden vase with decorations in it.
dataset/TINY_images/train/COCO_train2014_000000036652.jpg,A plate of food with a coffee mug nearby.
dataset/TINY_images/train/COCO_train2014_000000044996.jpg,A hot dog in a bun sitting beside the hotdog bag.
dataset/TINY_images/train/COCO_train2014_000000397349.jpg,The motorcyclist is carrying dead animals as he rides.
dataset/TINY_images/train/COCO_train2014_000000077012.jpg,A man and woman kneel around several banana bunches.
dataset/TINY_images/train/COCO_train2014_000000367763.jpg,A man on top of a vehicles and two others below.
dataset/TINY_images/train/COCO_train2014_000000106440.jpg,a box with many compartments with single doughnuts inside them
dataset/TINY_images/train/COCO_train2014_000000376746.jpg,There is a train going down the tracks.
dataset/TINY_images/train/COCO_train2014_000000355741.jpg,A man in a green top playing with a Wii.
dataset/TINY_images/train/COCO_train2014_000000443393.jpg,Female tennis player preparing to hit a backhand shot.
dataset/TINY_images/train/COCO_train2014_000000188552.jpg,Elephants are being ridden by people holding flags
dataset/TINY_images/train/COCO_train2014_000000579594.jpg,A man in a white shirt and bandana holding a tennis racket.
dataset/TINY_images/train/COCO_train2014_000000446677.jpg,A man is steadying a lamb's head for show while a man in the crowd plays on his phone.
dataset/TINY_images/train/COCO_train2014_000000363719.jpg,Two men seated at a table at a diner about to eat pizza.
dataset/TINY_images/train/COCO_train2014_000000285938.jpg,The edge of something metal is being viewed through an open door.
dataset/TINY_images/train/COCO_train2014_000000100863.jpg,A white sink that is underneath a mirror.
dataset/TINY_images/train/COCO_train2014_000000470960.jpg,A baby laying on top of a bed near a blanket.
dataset/TINY_images/train/COCO_train2014_000000246376.jpg,A group of birds are flying over a boat.
dataset/TINY_images/train/COCO_train2014_000000430166.jpg,A group of men standing next to a table with potted plants.
dataset/TINY_images/train/COCO_train2014_000000461110.jpg,a kid and a brown cat on the bed
dataset/TINY_images/train/COCO_train2014_000000083990.jpg,A plane flying over a river in a rural area.
dataset/TINY_images/train/COCO_train2014_000000127575.jpg,A traffic light next to a street sign that says Hollywood.
dataset/TINY_images/train/COCO_train2014_000000357966.jpg,A dog is eating from a dog bowl.
dataset/TINY_images/train/COCO_train2014_000000054205.jpg,A man holding a frisbee gets ready to throw it.
dataset/TINY_images/train/COCO_train2014_000000503036.jpg,Graffiti on the side of a train car
dataset/TINY_images/train/COCO_train2014_000000500324.jpg,A green apple being sliced with a knife.
dataset/TINY_images/train/COCO_train2014_000000145736.jpg,Little boy ready to bat during a baseball game
dataset/TINY_images/train/COCO_train2014_000000395598.jpg,a person rowing a boat some water bushes and trees
dataset/TINY_images/train/COCO_train2014_000000196870.jpg,A room filled with shelves that have words written on them.
dataset/TINY_images/train/COCO_train2014_000000137589.jpg,A couple of elephant that are standing in the grass.
dataset/TINY_images/train/COCO_train2014_000000045276.jpg,a woman and man facing one another wearing uniforms
dataset/TINY_images/train/COCO_train2014_000000281615.jpg,Bald eagle soaring over rough water in front of a railroad bridge.
dataset/TINY_images/train/COCO_train2014_000000300103.jpg,A laptop computer sitting on a table outside in a yard.
dataset/TINY_images/train/COCO_train2014_000000411803.jpg,an image of a man picking up trash on the railroad
dataset/TINY_images/train/COCO_train2014_000000247553.jpg,A child looks towards a microwave that has a bottle of hot sauce in it.
dataset/TINY_images/train/COCO_train2014_000000101952.jpg,A small cluttered office with a laptop propped up on books.
dataset/TINY_images/train/COCO_train2014_000000291918.jpg,A person wearing a red shirt is flying a kite at the beach
dataset/TINY_images/train/COCO_train2014_000000173561.jpg,A biplane flying low over a planted field.
dataset/TINY_images/train/COCO_train2014_000000280942.jpg,Person on a surf board riding a wave near the beach.
dataset/TINY_images/train/COCO_train2014_000000074722.jpg,A man with a group of children fly a kite together.
dataset/TINY_images/train/COCO_train2014_000000070927.jpg,A bunch of giraffes and zebras in their pen.
dataset/TINY_images/train/COCO_train2014_000000431885.jpg,A man standing on his snowboard at the entrance of a course.
dataset/TINY_images/train/COCO_train2014_000000286569.jpg,A man is talking on his cell phone outside.
dataset/TINY_images/train/COCO_train2014_000000304530.jpg,Several people walking down an alleyway near stores.
dataset/TINY_images/train/COCO_train2014_000000189361.jpg,A Mercedes bus at the bus stop picking up passengers.
dataset/TINY_images/train/COCO_train2014_000000080745.jpg,Some green bananas and yellow bananas bunched together.
dataset/TINY_images/train/COCO_train2014_000000064092.jpg,"Smiling, helmeted woman on horseback at a farm"
dataset/TINY_images/train/COCO_train2014_000000346345.jpg,an abandoned boat sitting on the side of the road
dataset/TINY_images/train/COCO_train2014_000000017520.jpg,a couple walking down a sidewalk close to a lake
dataset/TINY_images/train/COCO_train2014_000000153616.jpg,A person with glasses at a pizza restaurant.
dataset/TINY_images/train/COCO_train2014_000000159418.jpg,A person on a snowboard about to land a trick
dataset/TINY_images/train/COCO_train2014_000000561012.jpg,A dog next to the water looking at ducks
dataset/TINY_images/train/COCO_train2014_000000229969.jpg,A woman flying a kite on a beach around many people.
dataset/TINY_images/train/COCO_train2014_000000102460.jpg,a man riding a spraying elephant in water
dataset/TINY_images/train/COCO_train2014_000000579329.jpg,A group of people at a table sharing a meal
dataset/TINY_images/train/COCO_train2014_000000357810.jpg,A burger and fries on a plate with orange juice on the side.
dataset/TINY_images/train/COCO_train2014_000000436479.jpg,"A man with red hair, wearing a vest with a shirt and tie, making a drink at a bar area."
dataset/TINY_images/train/COCO_train2014_000000526666.jpg,a woman sitting on a bench while reading a paperback book
dataset/TINY_images/train/COCO_train2014_000000477428.jpg,A boy skateboarding in the city while another boy watches him.
dataset/TINY_images/train/COCO_train2014_000000136316.jpg,A well-dressed smiling couple poses for the camera.
dataset/TINY_images/train/COCO_train2014_000000265503.jpg,A small dog jumping into the air and catching a Frisbee.
dataset/TINY_images/train/COCO_train2014_000000411509.jpg,An adorable cow stands on green grass between two hills.
dataset/TINY_images/train/COCO_train2014_000000091025.jpg,two men pose for a picture while on a motorcycle
dataset/TINY_images/train/COCO_train2014_000000043583.jpg,A train on tracks parked on the side of station
dataset/TINY_images/train/COCO_train2014_000000389743.jpg,A woman looking focused while playing in a tennis match.
dataset/TINY_images/train/COCO_train2014_000000343634.jpg,A photo shoot of scissors and other objects on a stove in a kitchen.
