filepath,caption
dataset/SMALL_images/train/COCO_train2014_000000341027.jpg,A woman in a black coat standing on the street while holding a phone to her head with a postman walking u the street next to her.
dataset/SMALL_images/train/COCO_train2014_000000438252.jpg,a laptop a monitor  a mouse and some cords
dataset/SMALL_images/train/COCO_train2014_000000320483.jpg,People wait to cross at a busy crosswalk in a large town
dataset/SMALL_images/train/COCO_train2014_000000579952.jpg,A male tennis player preparing to hit a tennis ball.
dataset/SMALL_images/train/COCO_train2014_000000200031.jpg,A cat sitting in a spot of sun looking out a window.
dataset/SMALL_images/train/COCO_train2014_000000483956.jpg,The giant bird artwork is outside of a building.
dataset/SMALL_images/train/COCO_train2014_000000202004.jpg,a horse in a street loaded down with a buggy
dataset/SMALL_images/train/COCO_train2014_000000460118.jpg,A couple of sheep are grazing in a desert
dataset/SMALL_images/train/COCO_train2014_000000347542.jpg,a man is reaching in to the air with a glove
dataset/SMALL_images/train/COCO_train2014_000000228105.jpg,A stack of luggage inside of a car.
dataset/SMALL_images/train/COCO_train2014_000000138836.jpg,Two teddy bears dressed alike sitting side by side
dataset/SMALL_images/train/COCO_train2014_000000014819.jpg,An alarm clock sitting with other objects in a window sill.
dataset/SMALL_images/train/COCO_train2014_000000139151.jpg,A man riding a pair of skis down the side of a rail.
dataset/SMALL_images/train/COCO_train2014_000000387977.jpg,An airplane sitting on a runway in a field.
dataset/SMALL_images/train/COCO_train2014_000000286696.jpg,A group of tennis players are posing for a picture with their rackets.
dataset/SMALL_images/train/COCO_train2014_000000529545.jpg,"two photos of the same location, comparing the location in the present and in the past"
dataset/SMALL_images/train/COCO_train2014_000000351718.jpg,The man has his headphones on playing on his cell phone.
dataset/SMALL_images/train/COCO_train2014_000000165046.jpg,The man is riding his bike down the street.
dataset/SMALL_images/train/COCO_train2014_000000340689.jpg,A person in a long coat sitting on a bench
dataset/SMALL_images/train/COCO_train2014_000000415427.jpg,A city bus parked along the road at a bus stop.
dataset/SMALL_images/train/COCO_train2014_000000261761.jpg,"A gray colored pigeon that is perched on a railing outside of a building, with other buildings in the background."
dataset/SMALL_images/train/COCO_train2014_000000042081.jpg,A person sitting next to two half eaten doughnuts.
dataset/SMALL_images/train/COCO_train2014_000000425626.jpg,A plate full of colorful food and vegetables.
dataset/SMALL_images/train/COCO_train2014_000000525567.jpg,A man riding a bike across a street at a cross walk.
dataset/SMALL_images/train/COCO_train2014_000000454692.jpg,Two kids with helmets on sitting in the snow.
dataset/SMALL_images/train/COCO_train2014_000000512068.jpg,A large cat sitting under a sign that reads no ball games.
dataset/SMALL_images/train/COCO_train2014_000000488232.jpg,A white refrigerator sits in a black kitchen room.
dataset/SMALL_images/train/COCO_train2014_000000509949.jpg,A group of people are flying some kites.
dataset/SMALL_images/train/COCO_train2014_000000117937.jpg,Two tennis players are congratulating each other by bumping chests.
dataset/SMALL_images/train/COCO_train2014_000000344399.jpg,An adult standing next to a  child while riding skis.
dataset/SMALL_images/train/COCO_train2014_000000429949.jpg,The big bear and the baby bear are walking along the grass.
dataset/SMALL_images/train/COCO_train2014_000000119535.jpg,"A ""No Bullying"" sign hides in the bushes, overshadowed by its big brother ""Do Not Enter""."
dataset/SMALL_images/train/COCO_train2014_000000507511.jpg,Broccoli is served on a plate with a spoon.
dataset/SMALL_images/train/COCO_train2014_000000238630.jpg,Two beds sitting next to each other in a bedroom.
dataset/SMALL_images/train/COCO_train2014_000000312220.jpg,A dog on one side of a fence with herd of cows on the other side with a cow leaning over the fence trying to reach the dog.
dataset/SMALL_images/train/COCO_train2014_000000162300.jpg,A large black and white cat sitting in a bathroom sink.
dataset/SMALL_images/train/COCO_train2014_000000110473.jpg,"A room in a doll house with furniture, decorations, books, and people in the room also."
dataset/SMALL_images/train/COCO_train2014_000000482765.jpg,A small one-propeller plane is flying over a field.
dataset/SMALL_images/train/COCO_train2014_000000321897.jpg,The clock on the wall reads 12:27 at the Regua.
dataset/SMALL_images/train/COCO_train2014_000000210604.jpg,A couple of men reaching up to grab frisbees.
dataset/SMALL_images/train/COCO_train2014_000000543413.jpg,A group of elephants on grassy area next to rock and trees.
dataset/SMALL_images/train/COCO_train2014_000000412000.jpg,Several boats being paddled down a crowded waterway.
dataset/SMALL_images/train/COCO_train2014_000000508292.jpg,There is a bicycle parked on the front of the red and white city bus.
